rank,ratio,compact,tripod,dxy,cx,cy,cz,hi_n,lo_n,total_n
0,2.68425,1,0,0.140835,70.619,19.2284,1.50787,272,529,801
1,3.62986,0.946606,0,0.0147642,32.5207,4.90065,-0.163306,936,1933,2869
2,8.31787,0.939183,0,0.0761954,58.946,9.57008,0.470486,503,4515,5018
3,5.37758,0.937068,0,0.0501992,24.0129,2.91253,-0.512905,296,2052,2348
4,5.40065,0.933262,0,0.0529723,58.9028,9.61867,0.895752,1339,12036,13375
5,5.41805,0.933149,0,0.0545796,53.4433,14.3825,0.8131,638,5619,6257
6,3.9574,0.929383,0,0.0563617,22.1653,2.76081,-0.285309,498,4382,4880
7,4.51676,0.928403,0,0.0977217,58.8975,9.66653,0.5266,1173,10547,11720
8,4.95117,0.925418,0,0.0550688,65.1641,19.9542,1.93213,1898,2471,4369
9,6.17922,0.922854,0,0.064702,53.5387,14.4353,-0.107504,1822,3526,5348
10,2.64115,0.920441,0,0.0871489,27.3049,-0.176526,2.52531,483,1833,2316
11,2.60931,0.916811,0,0.0975852,67.1084,18.9202,0.215043,441,738,1179
12,2.64964,0.916308,0,0.0186986,32.2915,0.902784,2.8018,386,1801,2187
13,3.69927,0.916218,0,0.178273,90.8184,21.4707,2.16069,208,550,758
14,4.15306,0.916066,0,0.0941401,22.2252,2.72529,-0.436068,412,3691,4103
15,4.30074,0.915188,0,0.0599628,22.6823,2.48484,-0.457808,509,2066,2575
16,3.45047,0.915103,0,0.0577756,18.4238,2.5939,0.140648,4852,6029,10881
17,3.47588,0.914637,0,0.0443168,75.9973,16.0872,1.15978,512,377,889
18,4.49319,0.914002,0,0.135357,74.2694,20.4505,1.70459,1159,756,1915
19,5.40577,0.913253,0,0.087442,22.2502,2.739,-0.654647,158,1404,1562
20,3.75845,0.912656,0,0.154929,90.8094,21.5056,2.53758,327,716,1043
21,3.31282,0.912133,0,0.0531615,76.0024,16.0947,1.4306,863,543,1406
22,4.59032,0.911873,0,0.183446,41.5541,7.56022,-0.40718,54,398,452
23,3.90854,0.911353,0,0.080963,92.9187,22.2374,2.72421,219,504,723
24,4.12337,0.909054,0,0.00733948,70.3978,14.1782,0.834305,1056,187,1243
25,3.46538,0.908861,0,0.0376719,95.0458,23.0498,2.58736,190,366,556
26,3.25117,0.907771,0,0.0526659,32.5098,4.91911,-0.307164,606,1459,2065
27,2.72852,0.904211,0,0.109921,67.2089,10.2036,-0.130213,868,568,1436
28,4.31823,0.902283,0,0.116023,100.179,29.7293,1.79497,140,277,417
29,3.32128,0.90179,0,0.0355221,84.9029,23.9291,0.886056,177,326,503
30,3.54766,0.898489,0,0.0912531,76.0018,16.0865,1.69108,1284,904,2188
31,4.15993,0.89811,0,0.0409458,18.43,2.58433,-0.284356,1383,3019,4402
32,3.53154,0.89806,0,0.137008,65.5599,9.65,-0.0283818,2493,3988,6481
33,3.82023,0.89673,0,0.238549,66.052,17.7751,0.763706,5951,4509,10460
34,2.52244,0.896109,0,0.106533,19.9767,1.37035,0.0839963,2887,5283,8170
35,3.79154,0.893966,0,0.0750103,24.0364,2.88761,-0.677759,148,672,820
36,7.10543,0.893433,0,0.0404189,9.80643,5.087,0.209589,1161,3703,4864
37,3.44337,0.892236,0,0.0276477,70.3425,14.1286,1.76386,3126,1183,4309
38,4.05868,0.891222,0,0.0543702,22.6345,2.5009,-0.554997,408,1834,2242
39,2.83135,0.891022,0,0.0926011,14.0516,1.26282,-0.896153,86,381,467
40,2.82256,0.890649,0,0.0895109,71.5383,22.598,0.278216,373,830,1203
41,3.51433,0.890266,0,0.138903,67.6979,13.1073,0.842798,3906,1497,5403
42,3.92878,0.88874,0,0.0988134,53.5281,15.6053,-0.0232914,1050,1633,2683
43,2.51378,0.888526,0,0.157801,9.75067,5.9474,0.644229,2610,23473,26083
44,3.17285,0.886997,0,0.0617908,21.0138,1.88851,0.240751,725,5191,5916
45,2.65724,0.885398,0,0.174831,9.87427,5.87918,0.891295,2501,22346,24847
46,2.92328,0.885206,0,0.131831,9.95616,5.77293,0.864043,1547,13911,15458
47,3.52114,0.88313,0,0.179756,100.005,30.046,2.86348,424,910,1334
48,2.90822,0.882972,0,0.0961957,53.4067,16.2595,0.0221011,1206,1908,3114
49,3.40552,0.882863,0,0.0468863,18.4206,2.58635,0.10491,4594,5589,10183
50,9.06036,0.882608,0,0.0820038,9.8455,5.18782,-0.0784104,425,3127,3552
51,3.42065,0.881725,0,0.093387,73.201,15.1535,2.05469,2239,1619,3858
