cx,cy,cz,score,n
70.2739,3.85199,-2.90253,13,2063
114.571,10.6919,-3.50228,13,2958
103.768,9.28916,-2.96737,13,207
81.1083,6.75303,-2.26823,13,238
69.4643,5.91497,-1.94517,13,305
92.2063,7.8757,-2.79273,13,314
17.4939,4.00585,-1.98026,12.8771,1113
56.0916,3.50116,-3.47083,12.8449,239
60.9544,3.66712,-3.55078,12.8168,171
34.0257,3.23526,-2.67404,12.808,143
117.208,11.232,-3.09354,12.7136,164
32.4846,4.03137,-2.8242,12.6893,89
53.7335,3.45854,-3.4122,12.6683,157
39.1389,3.274,-2.83634,12.6673,277
121.63,11.0157,-1.45284,12.6601,154
44.8151,3.28658,-3.0517,12.6174,277
42.7371,3.30191,-3.00198,12.6138,86
107.69,-0.172253,-2.01788,12.6022,100
30.8929,3.28667,-2.57679,12.5805,213
35.4676,3.27411,-2.73519,12.5134,141
27.8354,3.37623,-2.463,12.4635,90
63.2495,2.5505,-3.56321,12.429,200
72.1693,-3.73732,-1.19524,12.4275,225
47.0672,3.1383,-3.11495,12.2486,197
61.8822,1.27268,-3.58211,12.2013,60
94.7367,-1.80054,-1.73413,12.1861,147
17.0731,7.3158,-1.96343,12.1268,687
92.2776,-2.06494,-1.51718,12.122,257
88.1222,-2.47563,-1.20158,12.0402,136
96.4165,-1.62171,-1.36746,12.0192,133
86.7095,-2.63919,-1.24915,12.0057,83
90.5415,-2.18875,-1.36839,11.9809,148
15.2668,4.74971,-2.13638,11.9796,265
98.782,-1.37764,-1.20541,11.9252,71
82.5779,-2.9821,-1.26402,11.8625,61
113.922,10.7769,-3.42876,11.7908,242
31.8197,4.80977,-2.94356,11.7647,200
19.9067,-4.57617,-0.0276917,11.7646,224
76.1361,5.47255,-3.61239,11.7418,239
121.906,9.1442,-1.25273,11.7292,259
51.8172,3.15023,-3.28363,11.7252,223
129.344,3.41655,-1.39079,11.6677,189
120.476,6.47971,-0.288774,11.6639,62
136.824,6.70006,0.0981795,11.637,55
84.0268,-2.83347,-1.24447,11.6189,50
112.663,10.6132,-2.82151,11.6076,54
38.8808,2.80099,-2.79133,11.5819,65
123.791,3.31636,-0.0717,11.5638,83
16.1748,-3.21698,-2.26607,11.555,93
57.2549,-4.52698,-1.16931,11.5398,71
99.6989,-1.18578,-1.64843,11.505,51
48.5539,2.31049,-3.12759,11.3067,307
142.536,7.11516,-0.615492,11.2887,119
143.947,15.6701,-2.0266,11.215,61
40.4887,2.56103,-2.84167,11.1975,62
118.5,0.741994,-3.40477,11.1973,51
121.912,12.0669,-2.86857,11.1532,241
41.392,2.27369,-2.86245,11.1142,84
29.8907,4.81685,-2.88633,11.0688,88
101.349,-1.0253,-1.56925,11.0563,260
143.476,8.12361,-0.0794718,11.0191,67
179.987,15.3426,-3.41536,11.0034,63
144.014,13.6225,-0.0869987,10.9832,61
60.1083,-2.79003,-3.53586,10.9574,232
40.8411,-3.07337,-2.96021,10.9225,52
142.873,15.442,-1.99492,10.9208,60
150.587,9.70381,-0.270167,10.9103,65
157.643,13.1128,0.0394759,10.8993,120
147.222,16.6371,-2.61595,10.8836,147
149.749,17.0502,-2.41001,10.8742,118
145.587,15.2039,-1.0673,10.8467,118
148.797,17.0657,-2.8002,10.8309,56
142.61,8.23055,0.101073,10.8281,50
149.645,14.4067,-0.0117638,10.8253,61
40.9782,-2.51959,-2.95439,10.8124,57
38.9683,0.768344,-2.8058,10.7316,81
150.022,16.4532,-1.44576,10.7225,66
44.2654,1.36625,-2.96754,10.7012,101
45.8572,-1.17621,-3.08572,10.5947,78
50.9128,1.41672,-3.22143,10.5248,123
57.4107,-0.249967,-3.51261,10.4705,83
45.3225,0.805234,-3.01788,10.4693,55
34.9164,3.94271,-2.87993,10.3411,642
43.5737,1.90094,-2.95484,10.2995,219
44.0913,-0.652749,-3.01927,10.2577,56
48.3138,1.37328,-3.11958,10.2394,70
151.833,14.7254,0.00843479,10.1955,140
45.6206,0.0920506,-3.04161,10.0485,61
48.6828,0.985949,-3.14799,10.0357,55
58.6387,3.34872,-3.45138,9.77032,352
57.6488,-2.27431,-3.48201,9.65872,183
28.2173,-3.729,-2.65865,9.40083,51
29.4147,-3.73628,-2.69101,9.12816,101
5.86687,3.71065,-1.1197,8.83724,1079
58.5449,-3.26613,-3.58731,8.80301,69
37.5188,4.52879,-3.07569,8.7024,742
47.5885,-1.91214,-3.14288,7.72547,261
59.1929,1.6904,-3.47228,7.53368,307
