rank,icp_fitness,cx,cy,cz,score,n
0,999,44.8151,3.28658,-3.0517,12.6174,277
1,999,96.4165,-1.62171,-1.36746,12.0192,133
2,999,88.1222,-2.47563,-1.20158,12.0402,136
3,999,92.2776,-2.06494,-1.51718,12.122,257
4,999,17.0731,7.3158,-1.96343,12.1268,687
5,999,94.7367,-1.80054,-1.73413,12.1861,147
6,999,61.8822,1.27268,-3.58211,12.2013,60
7,999,47.0672,3.1383,-3.11495,12.2486,197
8,999,72.1693,-3.73732,-1.19524,12.4275,225
9,999,63.2495,2.5505,-3.56321,12.429,200
10,999,27.8354,3.37623,-2.463,12.4635,90
11,999,35.4676,3.27411,-2.73519,12.5134,141
12,999,30.8929,3.28667,-2.57679,12.5805,213
13,999,107.69,-0.172253,-2.01788,12.6022,100
14,999,42.7371,3.30191,-3.00198,12.6138,86
15,999,70.2739,3.85199,-2.90253,13,2063
16,999,121.63,11.0157,-1.45284,12.6601,154
17,999,39.1389,3.274,-2.83634,12.6673,277
18,999,53.7335,3.45854,-3.4122,12.6683,157
19,999,32.4846,4.03137,-2.8242,12.6893,89
