rank,icp_fitness,cx,cy,cz,H,W,D,l1l2,l2l3,vert,zoff,n_pts
0,0.000887453,53.5086,14.452,0.335452,1.6419,0.716114,0.965814,7.21229,1.80582,0.991093,0.359697,706
1,0.00437528,9.9153,5.23566,-0.309882,1.47034,1.11777,1.21226,2.41652,4.06131,0.970644,0.435603,1111
2,0.119985,54.91,14.031,-0.634311,0.545278,0.343323,0.369391,2.8593,1.23939,0.958997,0.433633,141
3,999,75.7444,15.9661,3.88271,1.38867,0.799896,0.553274,6.4481,7.13937,0.882643,0.427331,168
4,999,18.5114,2.61842,0.052908,1.8499,0.836893,0.791186,13.1724,1.11122,0.995908,0.506654,1163
5,999,22.3135,2.66637,-0.382409,1.31264,1.07658,0.856412,2.65795,3.50226,0.893116,0.357829,1002
6,999,15.3649,0.168121,0.253266,1.04128,0.468943,0.419301,7.19847,1.57268,0.927899,0.507078,75
7,999,69.0663,10.0835,3.30461,0.864789,0.26049,0.458739,13.5037,2.6375,0.932137,0.525839,53
8,999,101.846,30.3278,2.57387,1.33031,0.616135,0.390791,5.32466,3.02069,0.948656,0.463589,216
9,999,19.3836,8.51592,-0.582155,0.74416,0.911806,0.50416,2.38642,2.76566,0.825834,0.509586,215
10,999,141.361,41.7342,3.18338,1.31464,0.491241,0.755455,4.34598,3.94811,0.991356,0.499352,379
11,999,97.0482,24.3672,4.32441,2.79677,1.5779,0.903009,14.455,3.13046,0.956433,0.467585,708
12,999,128.98,37.7264,2.55734,0.547182,0.368515,0.287609,2.2023,1.54637,0.972416,0.496937,65
13,999,101.445,30.4047,3.36456,0.606743,0.454567,0.347946,3.86477,2.59515,0.953854,0.473408,54
14,999,89.0492,25.4933,1.11146,0.603324,0.385406,0.454559,4.58098,2.22741,0.823424,0.372957,50
15,999,158.408,50.9602,8.44513,2.20951,1.00784,1.572,22.4415,6.12672,0.792049,0.470937,307
16,999,99.9774,29.9523,2.54264,2.21729,1.28806,0.967339,5.78102,3.48405,0.971939,0.473711,842
17,999,62.6714,9.73525,4.69396,1.02608,0.491638,0.739751,5.91988,2.44912,0.868794,0.340491,202
18,999,74.2906,20.5471,4.08802,0.973047,0.188286,0.182512,34.381,1.74926,0.987739,0.452036,62
19,999,69.6637,21.254,3.55302,0.722443,0.311829,0.25227,4.80687,3.96189,0.994528,0.445013,146
