rank,icp_fitness,cx,cy,cz,H,W,D,l1l2,l2l3,vert,zoff,n_pts
0,999,120.637,9.56426,-4.78105,1.74306,2.39865,1.05316,3.02257,6.4423,0.844984,0.493294,6324
1,999,48.5851,5.08395,-1.17539,0.548745,0.657177,0.224127,2.02005,5.37794,0.700186,0.570445,213
2,999,120.215,3.50041,-3.37288,0.565787,0.395424,0.295146,4.32686,4.06641,0.870292,0.637764,209
3,999,19.3655,5.39544,-0.177025,0.746076,0.486771,0.17283,2.91672,5.83092,0.972483,0.597726,219
4,999,114.311,8.58148,-4.24674,0.66459,0.310043,0.235676,4.4933,2.18436,0.99932,0.594548,50
5,999,123.82,1.66829,-4.07143,0.698383,0.65226,0.270138,2.53806,6.43008,0.752044,0.535751,75
6,999,92.128,7.87011,-2.79337,0.90087,0.549606,0.311632,4.17688,6.32313,0.965957,0.531262,262
7,999,117.104,9.39972,-0.435965,1.07823,0.347832,0.876815,17.479,1.74178,0.817299,0.606505,302
8,999,118.128,3.43354,-2.12314,0.795741,0.492805,0.586467,8.1827,1.49752,0.792651,0.456478,92
9,999,78.1181,6.43262,-3.4553,0.562364,0.353882,0.22929,3.1649,1.92978,0.989634,0.504328,68
10,999,122.128,3.05037,-1.11334,0.986675,0.284126,0.554157,22.1344,1.42141,0.934327,0.487573,334
11,999,96.2762,7.26691,-4.22889,1.30285,0.741089,1.00706,22.4244,1.36371,0.844227,0.446814,2069
12,999,194.982,19.2162,-6.41063,0.697392,0.397598,0.342758,2.29643,5.50499,0.988181,0.493896,59
13,999,119.193,9.20885,-0.308832,0.662136,0.436684,0.167741,5.90621,4.88668,0.971851,0.542465,64
14,999,122.032,3.66402,-0.168199,0.983372,0.320686,0.706781,3.68762,7.96632,0.823059,0.399321,328
15,999,116.981,10.4223,-3.43659,0.752287,0.343102,0.321787,7.1679,1.65527,0.993119,0.458167,85
16,999,113.456,0.339799,-5.14772,0.677567,0.51767,0.362654,4.57192,7.77578,0.850759,0.513153,53
17,999,96.9926,7.44764,-4.01159,1.12422,0.767654,0.680887,6.39714,1.36864,0.924158,0.422677,355
18,999,150.48,17.62,-6.12263,1.40997,0.659027,0.587408,19.0652,1.44908,0.949594,0.29705,395
19,999,56.9019,5.30249,-1.50133,0.651398,0.468639,0.305185,4.26355,1.53791,0.988343,0.470819,148
