rank,icp_fitness,cx,cy,cz,H,W,D,l1l2,l2l3,vert,zoff,n_pts
0,999,-20.2581,36.7812,0.158132,0.949,0.254333,0.336998,23.8642,1.48153,0.995844,0.498876,144
1,999,-3.55542,4.53486,-0.840108,0.791529,1.57661,1.64342,7.18749,1.51943,0.203755,0.684166,867
2,999,10.3706,-16.7486,-0.653003,0.5575,0.484,0.568001,3.09451,1.81833,0.772652,0.498294,150
3,999,-17.8364,29.158,-0.471705,1.118,0.792555,1.486,2.67983,2.59203,0.450718,0.47551,506
4,999,-20.7639,37.7453,0.98329,1.778,0.598,0.550335,15.5813,5.7712,0.979438,0.553732,375
5,999,-16.8286,27.2595,-0.477682,0.891357,0.244251,0.445358,6.35502,7.16344,0.996183,0.559166,136
6,999,-6.19623,10.1522,-0.508159,1.789,1.00195,1.128,2.70651,2.42261,0.994232,0.497006,1195
7,999,12.646,-21.4633,-0.394282,0.71,0.249001,0.335999,6.47681,3.83189,0.974114,0.545033,96
8,999,-1.98087,8.48876,-0.657925,1.036,0.51,0.551,6.03024,1.25175,0.983411,0.57365,208
9,999,0.783368,3.83516,-0.711952,1.03868,0.5905,0.641569,7.2486,1.88044,0.926976,0.535289,241
10,999,-18.5943,36.1888,-0.448909,0.577,0.16625,0.170002,15.2246,1.59848,0.998417,0.608808,58
11,999,-4.7418,13.1077,-0.613652,0.949,0.488,0.453332,7.30323,2.25884,0.970604,0.599104,166
12,999,-10.1787,22.2791,-0.676583,0.988,0.661429,0.414,6.91668,1.65773,0.965689,0.552293,217
13,999,-7.42266,17.6684,-0.640176,0.988,0.514,0.578001,6.82738,1.45066,0.981242,0.588093,188
14,999,-12.9441,26.954,-0.69117,1.03828,0.6035,0.550001,6.20313,1.61868,0.958449,0.563497,207
15,999,-18.7246,34.158,-0.0665822,1.087,0.337,0.425003,11.7952,2.00236,0.99958,0.44873,118
16,999,-7.9249,11.3383,-0.0539297,1.31217,0.404333,0.60475,4.89367,5.52724,0.997888,0.520779,355
17,999,17.3218,-23.73,-0.935772,0.7475,0.222,0.239,40.894,7.02549,0.968674,0.523752,53
18,999,3.55843,-0.877032,-0.698009,1.0401,0.589023,0.498918,5.79325,1.68112,0.974137,0.546431,233
19,999,-15.799,31.6836,-0.646589,0.9371,0.445499,0.401402,6.09268,1.52608,0.975588,0.556136,145
