rank,icp_fitness,cx,cy,cz,H,W,D,l1l2,l2l3,vert,zoff,n_pts
0,999,46.7649,20.0845,-1.8528,0.786807,0.820751,0.430288,3.46933,2.95698,0.911117,0.473725,350
1,999,44.286,18.7105,-1.97795,1.39528,17.0043,7.62654,95.0486,3.2607,0.0283413,0.221012,5523
2,999,42.5601,17.778,-0.245154,0.533008,1.17279,0.50555,6.97566,1.39428,0.135701,0.407882,451
3,999,47.1689,19.8719,-0.318045,0.598135,1.15575,0.501757,3.64631,1.7194,0.167951,0.4183,442
4,999,34.4944,14.2554,-1.54341,0.965235,5.58505,3.52586,13.843,2.29507,0.0692752,0.489935,4441
5,999,26.5279,10.707,-1.13293,2.11527,17.2233,8.27146,38.3534,2.70832,0.0612188,0.389365,12198
6,999,57.1831,25.5926,-1.59881,2.03407,2.16971,1.25267,5.36657,1.91745,0.483883,0.481304,3763
7,999,31.5611,16.8936,-1.62631,1.80949,27.9586,12.6064,361.22,6.52378,0.0149452,0.458359,9376
8,999,14.2398,5.77145,-0.997026,1.75846,2.06123,1.67285,2.22616,3.85512,0.803078,0.461095,6015
9,999,10.9546,7.54926,-1.36426,1.54438,13.6681,6.17206,114.208,7.45167,0.0056305,0.448914,4812
10,999,49.1258,27.3399,0.811721,0.956299,0.252586,0.297136,23.6785,2.08055,0.998541,0.57608,57
11,999,65.1998,31.8956,-3.24036,0.682793,0.325882,0.345015,4.02806,2.04434,0.999939,0.581708,92
12,999,50.1827,22.4891,-1.9564,1.87772,1.07724,0.852369,6.68656,1.71586,0.996614,0.50644,1778
13,999,62.2025,27.5968,-1.30599,1.27945,0.702183,0.595905,5.40766,2.71938,0.955204,0.512577,610
14,999,48.8071,26.4901,0.388465,1.01097,0.561489,0.37879,22.7599,2.09476,0.886801,0.487425,151
15,999,25.718,9.6727,-1.49183,0.580837,0.144594,0.184537,7.74081,5.63378,0.997541,0.516246,60
16,999,63.3846,28.9485,-1.24175,0.708181,0.436714,0.370056,3.2666,1.53537,0.978262,0.413181,224
17,999,63.925,28.6686,-0.820407,0.661701,0.351959,0.382036,3.45168,1.71883,0.980112,0.437794,257
18,999,47.5701,24.3516,-0.151694,1.77857,0.350777,0.321775,63.3116,1.20075,0.999581,0.435399,313
19,999,44.1461,21.9604,-1.32685,1.89681,1.02836,0.812603,10.8931,1.31839,0.995663,0.495207,1011
