rank,ratio,compact,tripod,dxy,cx,cy,cz,hi_n,lo_n,total_n
0,6.74973,0.935588,0,0.0388012,19.3365,-4.05276,0.00221514,271,1825,2096
1,6.08737,0.935537,0,0.0438465,33.1189,-4.59653,0.278167,324,2887,3211
2,5.58594,0.930126,0,0.0140781,41.653,3.57348,1.15436,217,518,735
3,5.0456,0.930114,0,0.0333497,19.3761,-4.009,-0.487534,168,1497,1665
4,5.49082,0.929931,0,0.108047,39.5182,3.63015,1.12512,175,1452,1627
5,5.72497,0.929101,0,0.18388,51.265,3.50393,1.45793,220,607,827
6,8.6505,0.928319,0,0.0170022,32.8134,8.10484,0.261723,134,1013,1147
7,9.63574,0.927971,0,0.0551975,21.6635,8.11571,0.178736,134,849,983
8,7.63056,0.9214,0,0.0281949,33.1608,-4.60684,-0.0420177,401,1970,2371
9,8.83578,0.920107,0,0.011004,32.8206,8.13244,-0.231832,87,770,857
10,5.25226,0.918265,0,0.0195261,36.7221,3.62901,1.04461,179,1311,1490
11,5.05964,0.911264,0,0.0915162,54.3876,3.51475,1.51204,46,251,297
12,6.19229,0.886823,0,0.276666,51.1996,3.49638,1.2991,153,409,562
