rank,ratio,cx,cy,cz,hi_n,lo_n,total_n
0,19.0166,38.2033,3.45394,0.676251,124,96,220
1,12.4497,19.688,10.0555,0.0653274,53,368,421
2,11.154,60.6943,-6.94394,-0.400832,102,156,258
3,9.7951,51.2429,3.52591,1.35456,86,323,409
4,9.70431,46.3882,3.49886,1.12281,92,216,308
5,8.82231,21.6143,8.16027,-0.222957,59,514,573
6,8.32494,19.3369,-4.05346,0.00227841,280,1236,1516
7,6.44669,20.9141,-3.07262,-0.144043,403,3048,3451
8,6.09629,33.1233,-4.59646,0.266713,331,2964,3295
9,6.06477,32.7613,8.06725,-0.0779419,76,673,749
10,5.91509,19.7862,-5.12645,-0.837887,108,958,1066
11,5.51896,22.7276,-3.78801,-0.169833,212,1889,2101
12,5.50261,40.7396,3.38358,0.918516,608,916,1524
13,5.3956,37.8449,-0.692667,0.416213,145,1288,1433
