rank,icp_fitness,cx,cy,cz,H,W,D,l1l2,l2l3,vert,zoff,n_pts
0,0.00131387,21.704,8.10718,-0.182314,1.18725,0.472836,0.465542,13.4015,1.75058,0.996835,0.457163,292
1,0.00232106,33.1651,-4.60549,-0.0692411,1.15772,0.357395,0.34392,17.831,2.02087,0.995838,0.452895,309
2,0.00248933,19.36,-4.03687,-0.290407,1.28987,0.338419,0.4495,16.9046,2.58568,0.993856,0.534736,284
3,0.00256377,20.4047,-3.13097,-0.432545,0.738286,0.513033,0.400647,3.5008,1.77993,0.957309,0.555685,85
4,0.00855313,32.8309,8.12386,0.017177,1.20446,0.458355,0.474595,13.2691,2.81482,0.996245,0.462387,273
5,0.0121679,20.9774,-2.9967,-0.19645,1.78512,1.12365,1.08562,3.91281,2.23311,0.998375,0.519029,1609
6,999,28.6779,-8.32211,-0.376621,1.71963,1.44131,0.565205,4.6063,7.14283,0.880651,0.394388,424
7,999,38.1577,-0.685135,-0.0540039,1.552,1.8399,0.561818,4.97967,4.48144,0.885249,0.483643,708
8,999,26.7385,-8.73212,2.42518,0.89322,0.737602,0.35358,6.75415,5.03566,0.882658,0.554278,56
9,999,114.247,0.303582,10.7796,0.756972,0.273491,0.302611,12.2013,2.14423,0.976067,0.531251,51
10,999,40.5497,-0.808018,-0.247514,1.24504,1.0876,0.746433,2.56715,1.48741,0.917994,0.410528,923
11,999,16.4265,-4.26423,-0.257212,1.78433,0.585066,0.633598,9.6253,4.43554,0.996918,0.536948,831
12,999,23.0147,-2.00431,-0.232659,1.76566,1.20463,1.35629,2.59572,2.19349,0.947267,0.47539,965
13,999,22.7923,-3.70732,-0.148456,1.76503,0.796274,1.07731,2.55386,6.51732,0.997728,0.540592,1212
14,999,16.5673,-4.92488,-0.736138,1.01524,1.04922,0.517787,2.64959,3.24528,0.876188,0.472598,506
15,999,22.8575,2.58516,-0.115825,1.60563,0.700394,0.736294,5.01615,4.65406,0.999372,0.566284,329
16,999,41.7711,10.6923,0.0865888,1.24693,0.570179,0.390081,6.80252,6.08711,0.942796,0.482367,102
17,999,16.7333,8.90786,3.70668,2.7515,0.540926,0.682002,132.518,1.20599,0.973077,0.409686,293
18,999,73.5888,-9.13217,0.2044,0.587273,0.484886,0.247093,4.73734,3.90135,0.943285,0.52955,105
19,999,40.3339,-4.85265,-0.0101211,1.79069,1.39537,1.49743,2.78337,1.17809,0.968307,0.449869,2506
