rank,ratio,compact,l2l3,cx,cy,cz,hi_n,lo_n,total_n
0,22.9028,1,1.59013,36.9567,17.5976,-1.25614,2284,20541,22825
1,20.1441,0.970297,1.59168,4.88039,1.36054,-0.756214,781,7015,7796
2,14.1314,1,2.80666,26.729,12.4563,0.0924462,982,8364,9346
3,13.6848,0.953125,5.22698,40.6165,18.9611,-2.05253,131,1160,1291
4,10.4775,0.969579,4.3329,50.0619,22.6314,-1.75192,2956,8318,11274
5,9.92252,0.993659,1.90398,8.35731,2.83237,-0.667586,2209,16344,18553
6,9.91222,1,11.9712,9.13668,4.82982,-1.02739,10119,36015,46134
7,7.96763,1,1.92468,61.8314,28.7194,-1.52221,2384,2224,4608
8,7.91092,1,1.23148,46.8626,19.9672,-0.973648,4715,42419,47134
9,7.87883,1,8.89173,49.5431,23.4903,-0.978163,2516,22633,25149
10,7.24369,0.999202,1.65305,42.3514,17.806,-0.335756,3859,34713,38572
11,6.89682,1,2.25401,55.0682,27.8222,-0.504099,657,239,896
12,6.28,1,2.92423,41.2305,17.4747,-1.62673,4168,27540,31708
13,5.99881,0.971871,5.9373,44.1679,21.8113,-1.16336,6731,13538,20269
14,5.85757,0.971983,1.4527,47.5218,23.9904,-1.44092,582,5219,5801
15,5.53141,1,7.97518,44.4645,20.7018,-2.03815,392,3517,3909
16,5.39935,0.966353,3.10314,37.5736,15.6853,-0.444463,3784,34039,37823
17,5.26561,1,16.5051,50.1398,22.4486,-1.69326,18902,34938,53840
18,5.20322,1,2.62031,63.4647,28.9157,-1.80852,2365,3850,6215
19,5.09102,0.960357,6.59825,22.5734,8.83145,-0.109814,4675,42058,46733
20,5.04849,0.980214,2.02931,32.1991,13.1988,-0.300053,4024,36202,40226
